date,open,high,low,close,volume,barCount
20230426,0.4766,0.4774,0.45,0.4517,4350.65,1035
20230427,0.45,0.4649,0.4406,0.4481,3970.14,1006
20230428,0.4501,0.49,0.441,0.47,3876.04,1265
20230501,0.4977,0.4977,0.42,0.42,6725.57,1989
20230502,0.418,0.419,0.4004,0.4034,5825.88,1592
20230503,0.4,0.41,0.368,0.3751,12242.68,3072
20230504,0.377,0.3949,0.3601,0.3892,5688.49,1525
20230505,0.3829,0.4251,0.3829,0.4092,3591.38,906
20230508,0.4297,0.4716,0.42,0.4517,6743.03,1942
20230509,0.4524,0.4657,0.4019,0.4378,5193.67,1946
20230510,0.45,0.519,0.4402,0.4874,9399.03,1975
20230511,0.52,0.5288,0.47,0.5,7992.97,2480
20230512,0.49,0.49,0.4397,0.4612,5879.06,1416
20230515,0.465,0.52,0.4649,0.5149,8293.73,1557
20230516,0.5149,0.535,0.48,0.5135,7008.33,1673
20230517,0.5212,0.57,0.5,0.5325,13656.4,2342
20230518,0.54,0.6147,0.5265,0.5792,13607.05,2299
20230519,0.6,0.6,0.501,0.5068,9820.95,2004
20230522,0.5208,0.75,0.518,0.7342,81894,10401
20230523,0.7799,0.8,0.6707,0.738,35999.78,5377
20230524,0.7386,0.8383,0.6565,0.7701,52012.99,7019
20230525,0.8746,0.885,0.76,0.797,27767.78,3843
20230526,0.81,1.11,0.76,1.07,55400.61,8176
20230530,1.12,1.16,0.9,1.03,47666.28,7753
20230531,0.9828,1.03,0.9,0.9388,19320.95,3924
20230601,0.9061,1.08,0.85,0.9542,46880.65,6890
20230602,1.01,1.01,0.83,0.878,31984.95,5533
20230605,0.8758,0.9487,0.795,0.9123,26138.65,5158
20230606,0.9144,1.24,0.8741,1.1,70952.37,11335
20230607,1.16,1.18,0.9609,1.035,49778.8,8179
20230608,1.04,1.49,1.04,1.38,153035.13,24329
20230609,1.61,1.65,1.23,1.33,102513.85,17860
20230612,1.46,1.46,1.22,1.25,54817.21,10748
20230613,1.27,1.35,1.12,1.31,55163.09,12137
20230614,1.29,1.33,1.15,1.215,35351.25,7607
20230615,1.18,1.255,1.17,1.23,22275.59,4423
20230616,1.24,1.24,1.091,1.11,25185.11,4561
20230620,1.11,1.18,1.05,1.085,24164.8,6449
20230621,1.09,1.09,0.9607,0.975,36324.58,7268
20230622,0.9942,0.999,0.8701,0.98,30338.52,6133
20230623,0.961,1.04,0.91,0.913,19587.4,7089
20230626,0.91,1.13,0.91,0.9952,46385.78,8687
20230627,1.04,1.13,0.9901,1.08,24828.3,4610
20230628,1.11,1.27,1.05,1.24,67608.99,11397
20230629,1.3,1.36,1.09,1.16,50100.19,7469
20230630,1.21,1.3199,1.1201,1.175,44364.27,6371
20230703,1.23,1.38,1.21,1.34,33706.84,4821
20230705,1.34,1.6675,1.31,1.59,94390.67,15555
20230706,1.58,1.68,1.41,1.47,71286.32,10869
20230707,1.51,1.6,1.31,1.37,47317.44,7230
20230710,1.4,1.49,1.3601,1.48,26236.26,3954
20230711,1.52,1.7727,1.46,1.53,66397.07,10840
20230712,1.64,1.75,1.55,1.74,53333.94,8896
20230713,1.77,2.08,1.68,2.0,85155.85,13305
20230714,2.0,2.04,1.75,1.76,58765.62,10273
20230717,1.8,2.15,1.755,2.1,63626.35,10471
20230718,2.1,2.4,1.945,2.21,107104.31,17780
20230719,2.34,2.37,2.01,2.06,75402.51,14585
20230720,1.995,2.045,1.86,1.89,54586.28,11998
20230721,1.98,2.05,1.62,1.64,59836.67,9283
20230724,1.67,1.77,1.58,1.72,34348.03,5601
20230725,1.74,2.19,1.7301,2.11,104254.35,15506
20230726,2.08,2.12,1.92,1.97,68486.88,12288
20230727,2.05,2.15,1.82,1.84,64749.12,10208
20230728,1.93,2.29,1.88,2.2,88341.17,13870
20230731,2.29,2.58,2.22,2.49,106183.95,21642
20230801,2.87,3.43,2.42,3.25,231096.8,44204
20230802,3.06,3.25,2.78,2.99,113665.97,21025
20230803,2.85,3.25,2.68,2.73,94684.75,16914
20230804,2.79,2.95,2.5,2.74,65959,12039
20230807,2.78,2.845,2.19,2.32,78037.68,15141
20230808,2.0,2.07,1.8,1.87,89856.5,17568
20230809,1.91,1.91,1.6,1.65,61894.41,12273
20230810,1.73,1.94,1.5901,1.64,60938.08,11454
20230811,1.91,2.75,1.87,2.28,757874.52,144148
20230814,2.32,2.86,2.29,2.67,248230.64,44271
20230815,2.6,2.6,2.12,2.24,159293.38,26429
20230816,2.29,2.4998,2.02,2.09,104749.07,17281
20230817,2.05,2.09,1.8002,1.97,82567.14,12459
20230818,1.87,2.09,1.81,2.06,62002.99,12688
20230821,2.04,2.075,1.88,2.02,64158.65,11924
20230822,2.14,2.15,1.87,1.97,49746.23,10025
20230823,1.91,2.04,1.89,1.97,51804.01,10013
20230824,2.07,2.08,1.74,1.81,62088.22,11255
20230825,1.81,1.83,1.68,1.74,41965.68,6294
20230828,1.76,1.93,1.71,1.89,45135.75,7624
20230829,1.86,1.96,1.77,1.86,62687.37,12434
20230830,1.84,1.85,1.7512,1.76,37720.29,6175
20230831,1.75,1.83,1.75,1.8,28664.47,6318
20230901,1.8,1.86,1.76,1.84,23329.96,4526
20230905,1.82,2.13,1.78,2.03,83677.46,14294
20230906,2.03,2.29,2.01,2.08,86933.79,14824
20230907,2.01,2.01,1.77,1.93,54237.67,9044
20230908,1.94,2.03,1.84,1.98,43627.7,6870
20230911,1.98,2.1285,1.93,2.03,52293.4,9658
20230912,2.0,2.2,1.88,1.95,64371.91,12778
20230913,2.0,2.11,1.945,2.0,37114.2,6899
20230914,2.04,2.07,1.9,1.93,37979.31,7295
20230915,1.93,1.96,1.83,1.86,35428.08,6884
20230918,1.85,1.85,1.7,1.78,46512.33,8123
20230919,1.86,1.88,1.77,1.79,29943.46,5729
20230920,1.81,1.88,1.73,1.74,21393.35,4538
20230921,1.64,1.67,1.55,1.6,31355.65,6372
20230922,1.6,1.705,1.53,1.57,22568.68,3983
20230925,1.5,1.53,1.39,1.46,36821.31,6199
20230926,1.4,1.49,1.36,1.38,28410.49,5792
20230927,1.39,1.47,1.38,1.42,38324.83,7297
20230928,1.4,1.42,1.27,1.31,48832.04,8275
20230929,1.32,1.38,1.29,1.33,24976.33,3858
20231002,1.31,1.38,1.25,1.29,22081.91,3894
20231003,1.28,1.28,1.17,1.19,33464.37,5714
20231004,1.17,1.28,1.17,1.26,27659.57,5244
20231005,1.25,1.265,1.2,1.21,13098.35,3123
20231006,1.21,1.43,1.17,1.4,33170.56,6264
20231009,1.35,1.38,1.295,1.36,16051.14,3291
20231010,1.34,1.6,1.34,1.53,38113.2,6809
20231011,1.64,1.655,1.48,1.51,31449.37,6190
20231012,1.53,1.59,1.45,1.48,24799.14,4578
20231013,1.51,1.51,1.37,1.4,23734.67,4600
20231016,1.41,1.44,1.32,1.41,13745.46,2694
20231017,1.34,1.46,1.31,1.43,12870.28,2480
20231018,1.41,1.41,1.31,1.35,14853.81,3431
20231019,1.36,1.3697,1.23,1.26,20186.06,4113
20231020,1.26,1.28,1.18,1.2,12387.51,2396
20231023,1.18,1.2,1.09,1.16,18126.33,3197
20231024,1.2,1.33,1.19,1.3,26509.06,4542
20231025,1.31,1.31,1.16,1.19,15616.46,2612
20231026,1.16,1.22,1.13,1.17,13268.04,2679
20231027,1.19,1.2,1.1,1.12,16092.21,3787
20231030,1.14,1.15,1.06,1.08,15341.4,4288
20231031,1.06,1.09,1.04,1.06,12480.03,4192
20231101,1.06,1.1,0.9901,1.05,22989.31,5234
20231102,1.08,1.17,1.05,1.14,32871.79,9496
20231103,1.16,1.23,1.12,1.17,29166.55,8489
20231106,1.17,1.19,1.02,1.04,29490.4,6374
20231107,1.05,1.1,1.03,1.04,11043.08,1895
20231108,1.07,1.07,1.0097,1.05,14352.52,2517
20231109,1.02,1.14,1.02,1.05,25689.58,6913
20231110,0.9401,1.02,0.9076,0.97,24735.61,4806
20231113,0.9755,1.06,0.9221,1.06,13310.64,2173
20231114,1.15,1.2,1.06,1.19,36410.65,8742
20231115,1.22,1.24,1.09,1.17,25283.74,6851
20231116,1.16,1.16,1.05,1.08,19897.15,4936
20231117,1.09,1.12,1.05,1.1,9972.07,2304
20231120,1.11,1.17,1.03,1.05,24209.16,5754
20231121,1.05,1.05,0.9801,1.02,18248.94,3179
20231122,1.03,1.1,1.03,1.05,15995.1,3594
20231124,1.04,1.09,1.04,1.05,4621.17,1680
20231127,1.07,1.16,1.015,1.05,41217.44,8931
20231128,1.1,1.1,1.02,1.08,15637.87,2342
20231129,1.09,1.1799,1.05,1.06,25673.67,4618
20231130,1.08,1.09,1.05,1.06,12047.76,2763
20231201,1.08,1.2,1.035,1.2,42044.9,6121
